Auteurs,References articles
C.A.Trugenberger,"['9206027', '9211071', '9301115', '9303030', '9306073', '9310181', '9502050', '9511168', '9612103', '9712008', '9810171', '9903208', '0202178', '0203053']"
G.R.Zemba,"['9206027', '9211071', '9301115', '9303030', '9310181', '9502050', '9503229', '9604009', '9606059']"
D.Z.Freedman,"['9206028', '9306117', '9309045', '9405028', '9608125', '9708042', '9711035', '9804101', '9904017', '9906194', '9908160', '9909134', '0003218']"
K.Johnson,"['9206028', '9309045']"
R.Munoz-Tapia,"['9206028', '9709067']"
X.Vilasis-Cardona,"['9206028', '9303044']"
L.Palacios,"['9206031', '9410224', '9605117']"
L.Begin,"['9206032', '9301075', '0210182']"
M.A.Walton,"['9206032', '9209114', '9301075', '9412126', '9511089', '9612159', '9804040', '9812192', '0004055', '0007088', '0209020', '0210182']"
Antti J.Niemi,"['9206033', '9403126', '9502055', '9508067', '9510198', '9603131', '9610193', '9807069', '9807228', '9812090', '9902140', '9905147', '9907180', '9908138', '9908178', '0101078', '0106009', '0206227', '0212053', '0304178']"
O.Tirkkonen,"['9206033', '9301059', '9403126', '9506023', '9511110', '9512048', '9605172', '9609228', '9707098']"
Atsuo Kuniba,"['9206034', '9310060', '9312060', '9406180', '9408135', '9506167', '9509039']"
Tomoki Nakanishi,"['9206034', '9310060', '9405200']"
Edouard Brézin,"['9206035', '9209022']"
Jean Zinn-Justin,"['9206035', '9810193', '9810198', '9906115', '0209045']"
Peter Chang,"['9206036', '9210013']"
Boris Dubrovin,"['9206037', '9303152', '9407018', '9611200', '9712232']"
M.Leblanc,"['9206039', '9311076', '9312109', '9406187', '9407029', '9407030']"
G.Lozano,"['9206039', '9302116', '9306117', '9403128', '9408043', '9502085', '9507079', '9509060', '9603201']"
H.Min,['9206039']
Fernando Martinez-Moras,"['9206040', '9410097']"
Luca Mezincescu,"['9206047', '9208021', '9212124', '9212125', '9303043', '9402053', '9407089', '9409130', '9501109', '9504085', '9705187', '9707155', '9708145', '9709078', '0007046', '0109002', '0301241']"
Rafael I.Nepomechie,"['9206047', '9208021', '9212124', '9212125', '9303043', '9402053', '9407089', '9409130', '9501109', '9504085', '9705187', '9707155', '9708145', '9709078', '9803118', '9807065', '9808012', '9810032', '9810034', '9903066', '9906069', '9911232', '0005170', '0009250', '0102010', '0103029', '0106207', '0106223', '0110081', '0110116', '0203123', '0204076', '0204181', '0207012', '0211001', '0304092']"
Konstadinos Sfetsos,"['9206048', '9305074', '9311093', '9311010', '9402031', '9408169', '9412065', '9510034', '9510103', '9602179', '9609165', '9611199', '9710163', '9803251', '9803019', '9811167', '9812165', '9901056', '9902067', '9903201', '9904188', '0008025', '0010048', '0106126', '0112117', '0202135', '0205099', '0206091', '0211130']"
L.Brink,"['9206049', '9302023', '0005136', '0207253']"
T.H.Hansson,"['9206049', '9302023', '9303178', '9303179', '9407139', '9409194', '9410235', '9412221', '9510045', '9705026', '9809013']"
M.A.Vasiliev,"['9206049', '9302023', '9311028', '9512038', '9609034', '9805127', '9812113', '0001031', '0002183', '0003123', '0005136', '0010239', '0103208', '0104246', '0106149', '0106200', '0111119', '0204167', '0206068', '0301235', '0301054', '0304020', '0304049']"
Ramon Munoz-Tapia,['9206050']
Francesco Ravanini,"['9206052', '9211115', '9510047', '0102148', '0202041']"
M.O'Loughlin,"['9206055', '9211030', '9212136', '9305125', '9612182', '9705138', '0104039', '0107112']"
Mark Srednicki,"['9206056', '9303048', '9807138', '0207090', '0210172']"
Tetsuo Deguchi,"['9206057', '9207090', '9209119', '9309029', '0012058']"
Yasuhiro Akutsu,['9206057']
C.V.Johnson,"['9206060', '0008226']"
T.R.Morris,"['9206060', '0102011', '0102054']"
A.Watterstam,['9206060']
M.Natsuume,['9206062']
J.Sonnenschein,"['9206063', '9207017', '9208040', '9210041', '9302027', '9307073', '9310077', '9401046', '9404149', '9407114', '9504113', '9507036', '9508006', '9510129', '9606049', '9703114', '9704044', '9705232', '9705143', '9706127', '9707031', '9709010', '9709097', '9711010', '9803137', '9805155', '9806158', '9807022', '9809133', '9811192', '9903153', '9910089', '9911123', '9911172', '9912144', '0008141', '0009146', '0010241', '0011043', '0103163', '0105089', '0108135', '0202206']"
Rene Lafrance,"['9206064', '9308113', '9411018']"
Robert Myers,['9206064']
T.Altherr,['9206065']
T.Grandou,['9206065']
Peter L.White,['9206066']
K.Hamada,"['9206071', '9210101', '9211135', '9411014', '9612234']"
J.R.Anglin,"['9206072', '9210034', '9210035', '9312046']"
R.C.Myers,"['9206072', '9207117', '9210082', '9311083', '9410142', '9411195', '9508092', '9512061', '9512137', '9602065', '9603078', '9611174', '9703041', '9705079', '9809100', '9810204', '9907188', '9910053', '9911164', '0008226', '0010122']"
Theodore J.Allen,"['9206073', '9207093', '9302137', '9304113', '9903211', '0209204']"
Andrew J.Bordner,"['9206073', '9304113', '9702193']"
Z.Bajnok,"['9206075', '9304019', '9309014', '9403032', '9702183', '9906185', '9906186', '9907121', '0004181', '0008066', '0011135', '0012190', '0106069', '0106070', '0108157', '0108211', '0207079', '0207099', '0211132']"
L.Palla,"['9206075', '9307030', '9401065', '9503061', '9503222', '9510114', '9601091', '9606187', '9609198', '9703045', '9704137', '9806068', '9907050', '9910046', '9910112', '9912173', '0004180', '0004181', '0007045', '0008066', '0106069', '0106070', '0108157', '0108211', '0201230', '0207099', '0211132']"
G.Takacs,"['9206075', '9601040', '9605104', '9803104', '9805117', '9807160', '9810006', '9909031', '0004181', '0008066', '0106069', '0106070', '0108157', '0108211', '0203073', '0207079', '0207099', '0211132']"
A.Das,"['9206076', '9211014', '9406214', '9408049', '9511129', '9704119', '9704126', '9802070']"
Z.Khviengia,"['9206076', '9307043', '9312201', '9410006', '9504121', '9511161', '9605077', '9703012', '9703063']"
Chiara R.Nappi,"['9206078', '9301005', '9806016', '0005074', '0009225', '0109096', '0210030', '0302122']"
Nemanja Kaloper,"['9206079', '9208025', '9303059', '9309019', '9310011', '9403048', '9503175', '9506027', '9508132', '9509070', '9609087', '9612248', '9705193', '9708008', '9708169', '9711027', '9801073', '9803066', '9804062', '9808063', '9811141', '9901045', '9904120', '9905210', '9907209', '9912125', '0001197', '0006192', '0104180', '0201158', '0206155', '0209231', '0211221', '0212132']"
Debashis Ghoshal,"['9206080', '9308062', '9312189', '9410034', '9501129', '9506122', '9510233', '9706057', '9711039', '9903042', '0003068', '0003278', '0009191', '0106231', '0204204']"
Sunil Mukhi,"['9206080', '9308062', '9312189', '9312190', '9410034', '9505127', '9511127', '9512196', '9606044', '9607057', '9612188', '9707224', '9709219', '9710004', '9711094', '9810213', '9811139', '9904131', '9907215', '9908192', '0001066', '0003219', '0005006', '0009101', '0011185', '0104045', '0106024', '0107087', '0108072', '0202153', '0204147', '0208203']"
Hikaru Kawai,"['9206081', '9303006', '9303123', '9307045', '9503134', '9606123', '9909060', '9910262', '9910004', '0001027', '0102168', '0106063', '0106103', '0204078', '0303210']"
Yoshihisa Kitazawa,"['9206081', '9303123', '9501056', '9504126', '9505193', '9609077', '9707108', '9810004', '9909060', '9910262', '9910004', '9912258', '0001027', '0104021', '0106217']"
Masao Ninomiya,"['9206081', '9303123', '9504126', '9808108', '0111240']"
F.Gómez,['9206083']
M.Srednicki,['9206085']
Shin'Ichi Nojiri,"['9206086', '9206087', '9207077', '9209118', '9302024', '9312036', '9312200', '9406109', '9409164', '9506072', '9506073', '9508112', '9601137', '9603137', '9603141', '9604066', '9609088', '9701032', '9703149', '9706009', '9706143', '9707142', '9708139', '9710010', '9710137', '9712015', '9801037', '9801180', '9802139', '9802160', '9806055', '9808109', '9810008', '9810097', '9812017', '9901119', '9903033', '9904036', '9904146', '9905089', '9905200', '9906216', '9908065', '9910113', '9911152', '9912191', '0001122', '0001192', '0003148', '0004097', '0005127', '0005197', '0006115', '0006232', '0007205', '0008160', '0009202', '0009015', '0010205', '0010004', '0011115', '0011182', '0101003', '0102032', '0102082', '0103078', '0105300', '0105052', '0105068', '0105117', '0105160', '0107134', '0108172', '0109122', '0110064', '0112152', '0201210', '0202098', '0202198', '0204065', '0204112', '0205187', '0205282', '0207009', '0209066', '0209242', '0210056', '0211023', '0212306', '0212047', '0302054', '0303011', '0303117', '0304131']"
Ichiro Oda,"['9206087', '9207077', '9209118', '9302024', '9306097', '9405185', '9503009', '9606035', '9710030', '9801051', '9801085', '9802152', '9806096', '9809076', '9810024', '9810203', '9811134', '9904019', '9907033', '9908104', '9909048', '0006203', '0008012', '0008055', '0008134', '0009074', '0012013', '0102147', '0103009', '0103052', '0103158', '0103257', '0104085', '0106210', '0109051', '0206104', '0302203']"
Jean-Pierre Ader,"['9206089', '9212098', '9812033']"
Francois Gieres,"['9206089', '9206109', '9208072', '9209078', '9304040', '9405101', '9609182', '9712154', '0303053', '0303084']"
Yves Noirot,"['9206089', '9812033']"
P.Di Francesco,"['9206090', '9211138', '9212108', '9305037', '9306018', '9306153', '9306157', '9401163', '9412175', '9506030', '9602025', '9607039', '9612026', '9702181', '9807074', '9907084', '0010259']"
So-Young Pi,"['9206092', '9402057', '9505121', '9511051', '9808036', '9911072', '0004084']"
Stanley Deser,"['9206094', '0112182']"
Ian I Kogan,['9206095']
Gordon W Semenoff,"['9206095', '9301069', '9302029']"
S.Vandoren,"['9206097', '9305087', '9306147', '9310166', '9505174', '9510176', '9601013', '9703228', '9707262', '9801039', '9803065', '9808157', '9810243', '9901128', '0001010', '0004186']"
A.Van Proeyen,"['9206097', '9210068', '9306147', '9310067', '9412200', '9502072', '9503022', '9505097', '9505123', '9506075', '9510186', '9703081', '9703082', '9712092', '9801102', '9801206', '9804177', '0003023', '0103233', '0105061']"
Jan De Boer,"['9206098', '9211107', '9211108', '9211109', '9302006', '9503161', '9504097', '9509158', '9510167', '9511141', '9605102', '9608078', '9611063', '9611066', '9611083', '9612131', '9702154', '9703100', '9708044', '9711143', '9801060', '9802005', '9802022', '9802079', '9806104', '9812240', '9812046', '9904073', '9905032', '0011217', '0101026', '0103170', '0108161', '0110108', '0207245', '0210161', '0210224', '0212082', '0212250', '0303006', '0304061']"
Jacob Goeree,"['9206098', '9211107', '9211108']"
J.Alfaro,"['9206099', '9207097', '9301103', '9308051', '9311086', '9405112', '9505156', '9511066', '9604027', '9610083', '9702112', '9810130', '9901074', '0203215', '0208192', '0304223']"
P.H.Damgaard,"['9206099', '9207114', '9301103', '9302050', '9405112', '9407022', '9505009', '9505040', '9505156', '9508034', '9511066', '9604027', '9609174', '9609037', '9610083', '9703199', '9708140', '9711110', '9711023', '9712006', '9801133', '9802174', '9803007', '9807026', '9810235', '9811212', '9903096', '9910190', '9911092', '9912146', '0006111', '0011072', '0101225', '0103249']"
V.Soni,"['9206104', '9403085', '9911074', '0204177']"
Stephen P.Braham,['9206105']
M.Dubois-Violette,"['9206106', '9910206']"
M.Henneaux,"['9206106', '9210070', '9304057', '9306100', '9306101', '9307155', '9310194', '9312183', '9312206', '9402068', '9405109', '9405160', '9405194', '9406161', '9407181', '9409104', '9503193', '9607182', '9702184', '9704131', '9707129', '9712189', '9803106', '9806062', '9904003', '9906121', '0106065', '0106188', '0207267', '0212256']"
Cm.Viallet,['9206106']
Shyamoli Chaudhuri,"['9206107', '9505054', '9510241', '9602052', '9906238', '9907179', '0002046', '0006014', '0007056', '0008131', '0105244', '0110086', '0201129', '0202138', '0203058', '0205306', '0208112', '0210134', '0212220']"
Joseph D.Lykken,"['9206107', '9505054', '9510241', '9603133', '9607144', '9612114']"
Toshiya Kawai,"['9206110', '9306096', '9402148', '9407009', '9408121', '9512046', '9607078', '9710016', '9804014', '0002169']"
Taku Uchino,"['9206110', '9303134']"
Sung-Kil Yang,"['9206110', '9306096', '9408121', '9507144', '9508026', '9510183', '9603002', '9603073', '9607151', '9612086', '9706076', '9708017', '9712018', '9803014', '9803126', '9806015', '9807183', '9808022', '9903215', '9907134', '9909122', '0007243', '0009072', '0105194']"
Anirvan M.Sengupta,['9206111']
R Weston,['9206112']
Thomas Strobl,"['9207001', '9211054', '9302041', '9308155', '9405110', '9507020', '9808151', '9906230', '0009145', '0011240', '0011248', '0112074', '0304252']"
Eduardo Fradkin,"['9207003', '9401156', '9502066', '9507136']"
Enrique Moreno,"['9207003', '9310032', '9512086', '9601112', '9709031']"
Fidel A.Schaposnik,"['9207003', '9506147', '9507136', '9512117', '9609061', '9705186', '9909226', '9911065']"
B.Gato-Rivera,['9207004']
J.Isberg,"['9207005', '9307108']"
U.Lindström,"['9207005', '9307108', '9410143', '9510045', '9705122', '0103101', '0111036', '0112206', '0204016']"
B.Sundborg,"['9207005', '9307108', '9410143']"
Fabian H.L.Essler,"['9207007', '9512090']"
Vladimir E.Korepin,"['9207007', '9512090', '9802003']"
Jens Lyng Petersen,"['9207009', '9207010', '9312187', '9402042', '9403150', '0304025']"
J.M.Figueroa-O'Farrill,"['9207013', '9208077', '9209002', '9211036', '9302057', '9306164', '9308105', '9310200', '9407153', '9611018', '9709178', '0008038']"
J.Mas,"['9207013', '9208077', '0202082', '0303193']"
E.Ramos,"['9207013', '9208077', '9209002', '9211036', '9305140', '9403043', '9406072', '9408019', '9504071', '9506088', '9601035', '9812077']"
N.J.Mackay,"['9207015', '9211091', '9501079', '9505124', '9506169', '9509007', '9608055', '9711140', '9711148', '9902008', '9903137', '0001222', '0104212', '0109115']"
Jnan Maharana,['9207016']
John H.Schwarz,"['9207016', '9209125', '9304154', '9305185', '9411178', '9503078', '9503127', '9505170', '9506076', '9507027', '9508143', '9509148', '9510086', '9512053', '9601077', '9604171', '9605184', '9607067', '9607201', '9610249', '9611065', '9612062', '9612080', '9701008', '9701166', '9702133', '9703062', '9705092', '9706197', '9707119', '9711029', '9803179', '9807135', '9807195', '9812037', '9907061', '9908091', '9908144', '0007117', '0007118', '0007130', '0008009', '0011078', '0103099', '0103165', '0107059', '0208179', '0211198']"
Alessandro Gualzetti,['9207018']
Michael Flohr,"['9207019', '9309083', '9412053', '9509166', '9605151', '9605152', '9606130', '9702199', '9707090', '0107242', '0111228', '0204154', '0212016']"
Y.M.Makeenko,"['9207020', '9911041', '0002158', '0004147', '0007247', '0012092']"
Igor Pesando,"['9207021', '9302007', '9501050', '9506139', '9506100', '9801112', '9801140', '9803228', '9808146', '9809145', '9902181', '9912284', '0003036']"
G.Von Gehlen,"['9207022', '9210125', '9402143', '9409170', '9601001', '9811123', '0104144', '0201195']"
Murat Gunaydin,"['9207023', '9301049', '9301050', '9502009', '9502064', '9601072', '9703021', '9703188', '9708025', '9802047', '9803138', '9905112', '9910110', '9912027', '0002228', '0004117', '0005168', '0101144', '0106161', '0108094', '0203057', '0207175']"
H.W.Braden,"['9207025', '9309033', '9312031', '9411240', '9603178', '9804204', '9812078', '9902205', '9906240', '0009060', '0103204', '0105169', '0205308', '0301121']"
H.S.Cho,"['9207025', '9505138']"
J.D.Kim,"['9207025', '9412192', '9504018', '9505138', '9506031', '9603111', '9605061']"
I.G.Koh,"['9207025', '9605061']"
M.Karowski,"['9207026', '9312008', '9406116', '9406183', '9611005', '9611006', '9805185', '9909153', '0102209', '0105178', '0110261', '0204097', '0301088']"
R.Schrader,"['9207026', '9310054']"
Fu-Berlin,['9207026']
François Delduc,['9207027']
Mikhail Saveliev,"['9207027', '9811108']"
T.A.Larsson,"['9207029', '9207030', '9208043', '9209092', '9212055', '0110166', '0208185']"
M.D.Freeman,"['9207031', '9208013', '9210134', '9303119']"
K.Hornfeck,"['9207031', '9212104', '9306019', '9307170', '9404113', '9406203', '9410013']"
P.West,"['9207031', '9208013', '9210134', '9303119', '9306134', '9403185', '9509140', '9811101', '9912226', '0001216', '0005270', '0104081', '0208214', '0212291', '0304206']"
